Regulated Contaminant Name,EPA Safe Drinking Limit,Unit,Description,Link,,
"Alkalinity, total",20,mg/L,"The CCC of 20mg/L is a minimum value except where alkalinity is naturally lower, in which case the criterion is the natural alkalinity of the water in question. Where natural alkalinity is > 20 mg/L, the criterion cannot be lower than 25% of the natural level, or 20 mg/L whichever is higher. (Source: EPA. https://www.epa.gov/wqc/national-recommended-water-quality-criteria-aquatic-life-criteria-table#:~:text=The%20CCC%20of%2020mg%2FL,mg%2FL%20whichever%20is%20higher)","https://www.epa.gov/wqc/national-recommended-water-quality-criteria-aquatic-life-criteria-table#:~:text=The%20CCC%20of%2020mg%2FL,mg%2FL%20whichever%20is%20higher.",,
Aluminium,.05-0.2,mg/L,"Aluminum is a natural element and the most common metal in the earth's crust. It is found in most soils and rocks. Aluminum can enter the water via natural processes, like weathering of rocks. Aluminum is also released to water by mining, industrial processes using aluminum, and waste water treated with alum, an aluminum compound. (Source: EPA. https://www.epa.gov/wqc/aquatic-life-criteria-aluminum#:~:text=Elevated%20levels%20of%20aluminum%20can,respiratory%20dysfunction%2C%20and%20possibly%20death.)",https://www.epa.gov/sites/default/files/2016-06/documents/npwdr_complete_table.pdf,,
Ammonia,17,mg/L,"Ammonia is produced for commercial fertilizers and other industrial applications. Natural sources of ammonia include the decomposition or breakdown of organic waste matter, gas exchange with the atmosphere, forest fires, animal and human waste, and nitrogen fixation processes.(Source: EPA.https://www.epa.gov/sites/default/files/2015-08/documents/fact_sheet_aquatic-life-ambient-water-quality-criteria-for-ammonia-freshwater-2013.pdf)",https://www.epa.gov/sites/default/files/2015-08/documents/fact_sheet_aquatic-life-ambient-water-quality-criteria-for-ammonia-freshwater-2013.pdf,,
Arsenic,0.01,mg/L,"Arsenic comes from the erosion of natural deposits, runoff from orchards, and runoff from glass and electronics production wastes. It can cause skin damage or problems with circulatory systems, and may have increased risk of getting cancer. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five)",https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five,,
Atrazine,0.003,mg/L,Atrazine comes from runoff from herbicide used on row crops. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five),https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five,,
Barium,2,mg/L,"Barium comes from the discharge of drilling wastes, the discharge from metal refineries, and the erosion of natural deposits. Barium causes an increase in blood pressure. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five)",https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five,,
Boron,,,Boron is not currently subject to drinking water regulation. More information can be found via the EPA Drinking Water Contaminant Candidate List (CCL). (Source: EPA. https://www.epa.gov/ccl),https://www.epa.gov/ccl,,
Bromide,0.01,mg/L,Bromide comes as a byproduct of drinking water disinfection. It can cause an increased risk of cancer. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five),https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five,,
Calcium,,,"Calcium is not currently subject to drinking water regulation. (Source: EPA. https://www.usgs.gov/faqs/do-you-have-information-about-water-hardness-united-states#:~:text=It%20is%20important%20to%20note,not%20cause%20harmful%20health%20effects)","https://www.usgs.gov/faqs/do-you-have-information-about-water-hardness-united-states#:~:text=It%20is%20important%20to%20note,not%20cause%20harmful%20health%20effects.",,
Chloride,250,mg/L,"Chloride is a major component of dissolved solids. The use of road salt sodium chloride, the same chemical as table salt”for deicing is a major manmade source of chloride to surface water and groundwater. Application of road salt in the United States has tripled since the 1970s, while other uses of salt have remained stable or decreased. Chloride also is a concern in groundwater, and concentrations are increasing in many aquifers across the U.S. (Sources: USGS. https://www.usgs.gov/mission-areas/water-resources/science/chloride-salinity-and-dissolved-solids and EPA. https://www.epa.gov/sites/default/files/2016-06/documents/npwdr_complete_table.pdf)",https://www.epa.gov/sites/default/files/2016-06/documents/npwdr_complete_table.pdf,,
Chlorophyll,,,"Chlorophyll-a is the most common photosynthetic pigment found in all plants, algae, and cyanobacteria. It converts sunlight and carbon dioxide into organic compounds like carbohydrates while generating byproducts such as oxygen (photosynthesis). Chlorophyll-a is often used as a means to measure the productivity of plants and algae in a waterbody. The EPA does not currently regulate it at a specific level, but the Kansas Department of Health and Environment state that maintaining chlorophyll-a levels below 10 ug/L in lakes or reservoirs can prevent or significantly reduce the occurrence of taste and odor problems. (Source: KDHE. https://www.kdhe.ks.gov/DocumentCenter/View/9396/Chlorophyll---A-Criteria-for-Public-Water-Supply-Lakes-or-Reservoirs-PDF#:~:text=Studies%20have%20shown%20that%20maintaining,of%20taste%20and%20odor%20problems)","https://www.kdhe.ks.gov/DocumentCenter/View/9396/Chlorophyll---A-Criteria-for-Public-Water-Supply-Lakes-or-Reservoirs-PDF#:~:text=Studies%20have%20shown%20that%20maintaining,of%20taste%20and%20odor%20problems.",,
Chromium,0.1,mg/L,"Chromium comes from the discharge of steel and pulp mills, as well as the erosion of natural deposits. It can cause allergic dermatitis. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five)",https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five,,
